level_0;index;Data;Fechamento;Variação;Variação (%);Abertura;Máxima;Mínima;Volume;Date
377;381,0;04/23/2019;6.38;0.13;2,08%;6.31;6.46;6.3;737.400;2019-04-23
378;382,0;04/22/2019;6.25;-0.05;-0,79%;6.26;6.45;6.22;621.400;2019-04-22
379;383,0;04/19/2019;6.3;0.0;+0,00%;6.26;6.37;6.17;0;2019-04-19
380;384,0;04/18/2019;6.3;0.11;1,78%;6.26;6.37;6.17;1.304.700;2019-04-18
381;385,0;04/17/2019;6.19;-0.09;-1,43%;6.29;6.29;6.17;326.600;2019-04-17
382;386,0;04/16/2019;6.28;-0.05;-0,79%;6.38;6.38;6.21;410.200;2019-04-16
383;388,0;04/15/2019;6.33;-0.06;-0,94%;6.45;6.45;6.25;318.400;2019-04-15
384;389,0;04/12/2019;6.39;-0.01;-0,16%;6.37;6.41;6.24;458.000;2019-04-12
385;390,0;04/11/2019;6.4;-0.04;-0,62%;6.45;6.49;6.32;370.800;2019-04-11
386;391,0;04/10/2019;6.44;0.02;0,31%;6.5;6.67;6.36;944.100;2019-04-10
387;392,0;04/09/2019;6.42;-0.37;-5,45%;6.77;6.8;6.42;1.457.600;2019-04-09
388;393,0;04/08/2019;6.79;-0.14;-2,02%;6.98;7.04;6.72;455.500;2019-04-08
389;394,0;04/05/2019;6.93;0.09;1,32%;6.86;7.04;6.84;492.700;2019-04-05
390;395,0;04/04/2019;6.84;0.07;1,03%;6.77;6.87;6.71;288.500;2019-04-04
391;396,0;04/03/2019;6.77;0.02;0,3%;6.75;6.82;6.71;220.800;2019-04-03
392;397,0;04/02/2019;6.75;-0.01;-0,15%;6.83;6.83;6.65;239.000;2019-04-02
393;398,0;04/01/2019;6.76;0.01;0,15%;6.77;6.87;6.72;433.500;2019-04-01
394;399,0;03/29/2019;6.75;-0.05;-0,74%;6.92;6.92;6.7;448.300;2019-03-29
395;400,0;03/28/2019;6.8;0.01;0,15%;6.72;6.89;6.59;545.900;2019-03-28
396;401,0;03/27/2019;6.79;-0.18;-2,58%;6.97;6.97;6.73;333.200;2019-03-27
397;402,0;03/26/2019;6.97;0.01;0,14%;6.97;7.09;6.92;352.900;2019-03-26
398;403,0;03/25/2019;6.96;-0.04;-0,57%;6.86;6.98;6.81;469.400;2019-03-25
399;404,0;03/22/2019;7.0;-0.06;-0,85%;7.0;7.07;6.89;374.100;2019-03-22
400;405,0;03/21/2019;7.06;-0.05;-0,7%;7.1;7.2;6.84;912.600;2019-03-21
401;406,0;03/20/2019;7.11;-0.24;-3,27%;7.39;7.39;7.11;949.700;2019-03-20
402;407,0;03/19/2019;7.35;-0.04;-0,54%;7.4;7.55;7.35;609.200;2019-03-19
403;408,0;03/18/2019;7.39;0.09;1,23%;7.34;7.53;7.25;1.543.400;2019-03-18
404;409,0;03/15/2019;7.3;-0.34;-4,45%;7.65;7.7;7.3;1.299.800;2019-03-15
405;410,0;03/14/2019;7.64;-0.06;-0,78%;7.74;7.85;7.64;501.900;2019-03-14
406;411,0;03/13/2019;7.7;0.06;0,79%;7.66;7.75;7.63;533.000;2019-03-13
407;412,0;03/12/2019;7.64;-0.39;-4,86%;7.83;7.92;7.42;1.984.500;2019-03-12
408;413,0;03/11/2019;8.03;-0.08;-0,99%;8.2;8.29;8.03;604.900;2019-03-11
409;414,0;03/08/2019;8.11;-0.04;-0,49%;8.07;8.15;7.93;619.000;2019-03-08
410;415,0;03/07/2019;8.15;0.24;3,03%;7.9;8.15;7.76;618.700;2019-03-07
411;416,0;03/06/2019;7.91;-0.08;-1,0%;7.99;8.04;7.83;222.300;2019-03-06
412;417,0;03/05/2019;7.99;0.0;+0,00%;7.94;8.05;7.82;0;2019-03-05
413;418,0;03/04/2019;7.99;0.0;+0,00%;7.94;8.05;7.82;0;2019-03-04
414;419,0;03/01/2019;7.99;0.03;0,38%;7.94;8.05;7.82;415.700;2019-03-01
415;420,0;02/28/2019;7.96;-0.19;-2,33%;8.15;8.15;7.92;487.200;2019-02-28
416;421,0;02/27/2019;8.15;-0.02;-0,24%;8.2;8.25;7.91;1.777.400;2019-02-27
417;422,0;02/26/2019;8.17;0.26;3,29%;7.91;8.18;7.87;982.600;2019-02-26
418;423,0;02/25/2019;7.91;0.02;0,25%;7.89;7.97;7.78;236.200;2019-02-25
419;424,0;02/22/2019;7.89;0.02;0,25%;7.92;7.95;7.8;251.700;2019-02-22
420;425,0;02/21/2019;7.87;-0.1;-1,25%;7.97;7.97;7.82;193.900;2019-02-21
421;426,0;02/20/2019;7.97;0.02;0,25%;7.95;7.99;7.86;275.400;2019-02-20
422;427,0;02/19/2019;7.95;0.1;1,27%;7.85;7.95;7.75;300.600;2019-02-19
423;428,0;02/18/2019;7.85;0.0;0,0%;7.84;7.85;7.72;119.500;2019-02-18
424;429,0;02/15/2019;7.85;0.0;+0,00%;7.98;7.98;7.82;0;2019-02-15
425;430,0;02/15/2019;7.85;-0.13;-1,63%;7.98;7.98;7.82;162.700;2019-02-15
426;431,0;02/14/2019;7.98;0.03;0,38%;7.96;7.99;7.78;283.200;2019-02-14
427;432,0;02/13/2019;7.95;0.07;0,89%;7.9;7.99;7.78;280.300;2019-02-13
428;433,0;02/12/2019;7.88;0.1;1,29%;7.8;7.94;7.76;204.900;2019-02-12
429;434,0;02/11/2019;7.78;-0.21;-2,63%;7.99;8.05;7.73;523.900;2019-02-11
430;435,0;02/08/2019;7.99;0.11;1,4%;7.85;8.1;7.78;274.900;2019-02-08
431;436,0;02/07/2019;7.88;-0.2;-2,48%;8.1;8.1;7.77;339.200;2019-02-07
432;437,0;02/06/2019;8.08;-0.11;-1,34%;8.19;8.2;7.96;291.500;2019-02-06
433;438,0;02/05/2019;8.19;-0.14;-1,68%;8.35;8.44;8.14;626.100;2019-02-05
434;439,0;02/04/2019;8.33;0.2;2,46%;8.16;8.35;7.91;372.700;2019-02-04
435;440,0;02/01/2019;8.13;-0.05;-0,61%;8.18;8.27;8.05;396.800;2019-02-01
436;441,0;01/31/2019;8.18;-0.12;-1,45%;8.32;8.45;8.18;575.500;2019-01-31
437;442,0;01/30/2019;8.3;0.02;0,24%;8.27;8.4;8.16;1.181.100;2019-01-30
438;443,0;01/29/2019;8.28;-0.05;-0,6%;8.35;8.4;8.06;525.400;2019-01-29
439;444,0;01/28/2019;8.33;-0.17;-2,0%;8.41;8.5;8.25;349.700;2019-01-28
440;445,0;01/25/2019;8.5;0.0;+0,00%;8.26;8.5;8.26;0;2019-01-25
441;446,0;01/24/2019;8.5;0.22;2,66%;8.26;8.5;8.26;721.300;2019-01-24
442;447,0;01/23/2019;8.28;0.22;2,73%;8.15;8.34;8.13;1.220.200;2019-01-23
443;448,0;01/22/2019;8.06;0.06;0,75%;8.07;8.28;7.85;2.711.800;2019-01-22
444;449,0;01/21/2019;8.0;0.15;1,91%;7.77;8.05;7.65;594.600;2019-01-21
445;450,0;01/18/2019;7.85;-0.2;-2,48%;8.15;8.15;7.79;795.000;2019-01-18
446;451,0;01/17/2019;8.05;-0.22;-2,66%;8.28;8.35;8.01;497.800;2019-01-17
447;453,0;01/16/2019;8.27;-0.12;-1,43%;8.3;8.37;8.06;925.500;2019-01-16
448;454,0;01/15/2019;8.39;-0.02;-0,24%;8.45;8.68;8.27;1.052.700;2019-01-15
449;455,0;01/14/2019;8.41;0.06;0,72%;8.36;8.44;8.36;743.000;2019-01-14
450;456,0;01/11/2019;8.35;0.18;2,2%;8.18;8.4;8.14;1.140.000;2019-01-11
451;457,0;01/10/2019;8.17;0.49;6,38%;7.76;8.26;7.74;1.563.500;2019-01-10
452;458,0;01/09/2019;7.68;0.31;4,21%;7.44;7.68;7.44;540.300;2019-01-09
453;459,0;01/08/2019;7.37;0.11;1,52%;7.26;7.38;7.15;350.900;2019-01-08
454;460,0;01/07/2019;7.26;-0.01;-0,14%;7.27;7.44;7.08;357.400;2019-01-07
455;461,0;01/04/2019;7.27;-0.13;-1,76%;7.46;7.48;7.17;353.100;2019-01-04
456;462,0;01/03/2019;7.4;0.08;1,09%;7.33;7.49;7.3;492.400;2019-01-03
457;463,0;01/02/2019;7.32;0.22;3,1%;7.2;7.42;7.18;973.300;2019-01-02
458;464,0;01/01/2019;7.1;0.0;+0,00%;6.64;7.15;6.64;0;2019-01-01
459;465,0;12/31/2018;7.1;0.0;+0,00%;6.64;7.15;6.64;0;2018-12-31
460;466,0;12/28/2018;7.1;0.45;6,77%;6.64;7.15;6.64;1.209.300;2018-12-28
461;467,0;12/27/2018;6.65;0.2;3,1%;6.48;6.65;6.48;266.100;2018-12-27
462;468,0;12/26/2018;6.45;0.0;+0,00%;6.57;6.58;6.44;0;2018-12-26
463;469,0;12/26/2018;6.45;-0.14;-2,12%;6.57;6.58;6.44;226.400;2018-12-26
464;470,0;12/25/2018;6.59;0.0;+0,00%;6.49;6.64;6.37;0;2018-12-25
465;471,0;12/24/2018;6.59;0.0;+0,00%;6.49;6.64;6.37;0;2018-12-24
466;472,0;12/21/2018;6.59;0.14;2,17%;6.49;6.64;6.37;504.600;2018-12-21
467;473,0;12/20/2018;6.45;-0.04;-0,62%;6.48;6.49;6.35;190.800;2018-12-20
468;474,0;12/19/2018;6.49;0.04;0,62%;6.45;6.52;6.35;190.100;2018-12-19
469;475,0;12/18/2018;6.45;-0.02;-0,31%;6.47;6.58;6.43;145.000;2018-12-18
470;476,0;12/17/2018;6.47;-0.13;-1,97%;6.61;6.69;6.42;217.300;2018-12-17
471;477,0;12/14/2018;6.6;-0.01;-0,15%;6.6;6.65;6.49;248.300;2018-12-14
472;478,0;12/13/2018;6.61;0.03;0,46%;6.65;6.65;6.4;261.400;2018-12-13
473;479,0;12/12/2018;6.58;-0.04;-0,6%;6.63;6.7;6.56;926.700;2018-12-12
474;480,0;12/11/2018;6.62;0.14;2,16%;6.49;6.7;6.49;959.200;2018-12-11
475;481,0;12/10/2018;6.48;-0.07;-1,07%;6.54;6.54;6.33;374.400;2018-12-10
476;482,0;12/07/2018;6.55;0.06;0,92%;6.49;6.62;6.48;831.900;2018-12-07
477;483,0;12/06/2018;6.49;0.09;1,41%;6.3;6.53;6.25;704.700;2018-12-06
478;484,0;12/05/2018;6.4;0.1;1,59%;6.31;6.44;6.25;765.200;2018-12-05
479;485,0;12/04/2018;6.3;-0.06;-0,94%;6.34;6.34;6.22;397.500;2018-12-04
480;486,0;12/03/2018;6.36;0.01;0,16%;6.4;6.47;6.35;490.200;2018-12-03
481;487,0;11/30/2018;6.35;0.02;0,32%;6.36;6.37;6.16;747.000;2018-11-30
482;488,0;11/29/2018;6.33;0.16;2,59%;6.12;6.38;6.07;416.400;2018-11-29
483;489,0;11/28/2018;6.17;-0.06;-0,96%;6.22;6.25;5.96;847.700;2018-11-28
484;490,0;11/27/2018;6.23;0.05;0,81%;6.18;6.28;6.11;376.600;2018-11-27
485;491,0;11/26/2018;6.18;0.0;+0,00%;6.33;6.41;6.11;0;2018-11-26
486;492,0;11/26/2018;6.18;-0.17;-2,68%;6.33;6.41;6.11;576.400;2018-11-26
487;493,0;11/23/2018;6.35;-0.25;-3,79%;6.56;6.58;6.35;230.000;2018-11-23
488;494,0;11/22/2018;6.6;-0.03;-0,45%;6.63;6.68;6.53;392.500;2018-11-22
489;495,0;11/21/2018;6.63;0.05;0,76%;6.57;6.7;6.42;409.500;2018-11-21
490;496,0;11/20/2018;6.58;0.0;+0,00%;6.48;6.65;6.47;0;2018-11-20
491;497,0;11/19/2018;6.58;0.1;1,54%;6.48;6.65;6.47;527.400;2018-11-19
492;498,0;11/16/2018;6.48;0.19;3,02%;6.31;6.48;6.31;356.100;2018-11-16
493;499,0;11/15/2018;6.29;0.0;+0,00%;6.24;6.35;6.1;0;2018-11-15
494;500,0;11/14/2018;6.29;0.07;1,13%;6.24;6.35;6.1;221.000;2018-11-14
495;501,0;11/13/2018;6.22;0.07;1,14%;6.16;6.3;6.1;282.800;2018-11-13
496;502,0;11/12/2018;6.15;-0.12;-1,91%;6.28;6.46;6.1;475.000;2018-11-12
497;503,0;11/09/2018;6.27;0.08;1,29%;6.19;6.32;6.09;156.800;2018-11-09
498;504,0;11/08/2018;6.19;-0.13;-2,06%;6.33;6.33;6.08;440.200;2018-11-08
499;505,0;11/07/2018;6.32;-0.09;-1,4%;6.42;6.5;6.26;526.200;2018-11-07
500;506,0;11/06/2018;6.41;-0.28;-4,19%;6.3;6.58;6.24;873.100;2018-11-06
501;507,0;11/05/2018;6.69;0.17;2,61%;6.52;6.75;6.52;471.000;2018-11-05
502;508,0;11/02/2018;6.52;0.0;+0,00%;6.3;6.54;6.3;0;2018-11-02
503;509,0;11/01/2018;6.52;0.28;4,49%;6.3;6.54;6.3;474.100;2018-11-01
504;510,0;10/31/2018;6.24;-0.02;-0,32%;6.35;6.36;6.2;485.600;2018-10-31
505;511,0;10/30/2018;6.26;0.2;3,3%;6.11;6.33;6.06;597.000;2018-10-30
506;512,0;10/29/2018;6.06;-0.42;-6,48%;6.75;6.86;6.04;933.400;2018-10-29
507;513,0;10/26/2018;6.48;0.0;0,0%;6.5;6.54;6.34;532.800;2018-10-26
508;514,0;10/25/2018;6.48;0.18;2,86%;6.4;6.5;6.35;873.900;2018-10-25
509;515,0;10/24/2018;6.3;-0.15;-2,33%;6.6;6.64;6.3;733.800;2018-10-24
510;516,0;10/23/2018;6.45;0.0;+0,00%;6.31;6.56;6.26;0;2018-10-23
511;517,0;10/23/2018;6.45;0.01;0,16%;6.31;6.56;6.26;401.400;2018-10-23
512;518,0;10/22/2018;6.44;0.0;+0,00%;6.33;6.45;6.31;0;2018-10-22
513;519,0;10/22/2018;6.44;0.14;2,22%;6.33;6.45;6.31;301.200;2018-10-22
514;520,0;10/19/2018;6.3;-0.07;-1,1%;6.37;6.47;6.22;520.800;2018-10-19
515;521,0;10/18/2018;6.37;-0.06;-0,93%;6.43;6.43;6.3;591.500;2018-10-18
516;522,0;10/17/2018;6.43;0.14;2,23%;6.28;6.45;6.23;520.400;2018-10-17
517;523,0;10/16/2018;6.29;0.3;5,01%;6.1;6.29;6.04;609.600;2018-10-16
518;525,0;10/15/2018;5.99;0.0;+0,00%;6.1;6.16;5.99;0;2018-10-15
519;526,0;10/15/2018;5.99;-0.06;-0,99%;6.1;6.16;5.99;317.800;2018-10-15
520;527,0;10/12/2018;6.05;0.0;+0,00%;6.08;6.13;5.95;0;2018-10-12
521;528,0;10/11/2018;6.05;0.1;1,68%;6.08;6.13;5.95;1.097.800;2018-10-11
522;529,0;10/10/2018;5.95;-0.21;-3,41%;6.16;6.16;5.93;421.100;2018-10-10
523;530,0;10/09/2018;6.16;0.32;5,48%;5.91;6.22;5.85;732.600;2018-10-09
524;531,0;10/08/2018;5.84;0.36;6,57%;5.65;5.94;5.61;779.500;2018-10-08
525;532,0;10/05/2018;5.48;0.08;1,48%;5.5;5.6;5.34;299.400;2018-10-05
526;533,0;10/04/2018;5.4;0.09;1,69%;5.33;5.48;5.22;337.800;2018-10-04
527;534,0;10/03/2018;5.31;0.19;3,71%;5.29;5.4;5.24;991.700;2018-10-03
528;535,0;10/02/2018;5.12;0.07;1,39%;5.1;5.2;5.08;657.100;2018-10-02
529;536,0;10/01/2018;5.05;0.0;0,0%;5.09;5.15;4.95;556.600;2018-10-01
530;537,0;09/28/2018;5.05;-0.13;-2,51%;5.17;5.17;5.01;350.100;2018-09-28
531;538,0;09/27/2018;5.18;0.23;4,65%;4.99;5.2;4.98;484.300;2018-09-27
532;539,0;09/26/2018;4.95;-0.13;-2,56%;5.08;5.22;4.93;665.400;2018-09-26
533;540,0;09/25/2018;5.08;-0.02;-0,39%;5.06;5.08;4.96;733.400;2018-09-25
534;541,0;09/24/2018;5.1;-0.15;-2,86%;5.2;5.3;5.08;364.800;2018-09-24
535;542,0;09/21/2018;5.25;0.08;1,55%;5.18;5.25;5.12;430.400;2018-09-21
536;543,0;09/20/2018;5.17;-0.05;-0,96%;5.22;5.24;5.15;143.200;2018-09-20
537;544,0;09/19/2018;5.22;-0.02;-0,38%;5.21;5.38;5.13;568.200;2018-09-19
538;545,0;09/18/2018;5.24;0.12;2,34%;5.17;5.25;5.13;300.700;2018-09-18
539;546,0;09/17/2018;5.12;0.06;1,19%;5.1;5.24;5.09;233.800;2018-09-17
540;547,0;09/14/2018;5.06;-0.09;-1,75%;5.12;5.23;5.06;189.100;2018-09-14
541;548,0;09/13/2018;5.15;-0.15;-2,83%;5.33;5.42;5.12;652.200;2018-09-13
542;549,0;09/12/2018;5.3;-0.14;-2,57%;5.44;5.49;5.3;214.600;2018-09-12
543;550,0;09/11/2018;5.44;0.0;0,0%;5.37;5.47;5.29;263.500;2018-09-11
544;551,0;09/10/2018;5.44;0.02;0,37%;5.39;5.54;5.37;460.100;2018-09-10
545;552,0;09/07/2018;5.42;0.0;+0,00%;5.42;5.49;5.23;0;2018-09-07
546;553,0;09/06/2018;5.42;0.03;0,56%;5.42;5.49;5.23;524.100;2018-09-06
547;554,0;09/05/2018;5.39;-0.01;-0,19%;5.4;5.45;5.31;260.600;2018-09-05
548;555,0;09/04/2018;5.4;-0.13;-2,35%;5.5;5.57;5.32;793.300;2018-09-04
549;556,0;09/03/2018;5.53;0.08;1,47%;5.48;5.55;5.35;834.200;2018-09-03
550;557,0;08/31/2018;5.45;0.15;2,83%;5.35;5.49;5.32;442.200;2018-08-31
551;558,0;08/30/2018;5.3;-0.1;-1,85%;5.4;5.45;5.29;299.400;2018-08-30
552;559,0;08/29/2018;5.4;-0.13;-2,35%;5.51;5.6;5.36;377.900;2018-08-29
553;560,0;08/28/2018;5.53;-0.04;-0,72%;5.59;5.65;5.45;886.500;2018-08-28
554;561,0;08/27/2018;5.57;0.18;3,34%;5.47;5.65;5.36;696.500;2018-08-27
555;562,0;08/24/2018;5.39;0.09;1,7%;5.36;5.57;5.15;806.500;2018-08-24
556;563,0;08/23/2018;5.3;-0.37;-6,53%;5.59;5.81;5.29;778.900;2018-08-23
557;564,0;08/22/2018;5.67;0.5;9,67%;5.2;5.67;5.1;875.500;2018-08-22
558;565,0;08/21/2018;5.17;-0.45;-8,01%;5.67;5.71;5.1;1.131.600;2018-08-21
559;566,0;08/20/2018;5.62;0.62;12,4%;5.0;5.63;5.0;971.500;2018-08-20
560;567,0;08/17/2018;5.0;-0.05;-0,99%;5.03;5.06;4.91;433.500;2018-08-17
561;568,0;08/16/2018;5.05;0.05;1,0%;5.07;5.1;4.97;288.900;2018-08-16
562;569,0;08/15/2018;5.0;0.02;0,4%;4.98;5.13;4.93;810.400;2018-08-15
563;570,0;08/14/2018;4.98;-0.17;-3,3%;5.05;5.21;4.96;2.146.200;2018-08-14
564;571,0;08/13/2018;5.15;0.03;0,59%;5.14;5.21;5.03;534.500;2018-08-13
565;572,0;08/10/2018;5.12;-0.23;-4,3%;5.28;5.37;5.12;1.056.800;2018-08-10
566;573,0;08/09/2018;5.35;-0.02;-0,37%;5.33;5.47;5.28;1.078.400;2018-08-09
567;574,0;08/08/2018;5.37;-0.03;-0,56%;5.41;5.46;5.25;609.300;2018-08-08
568;575,0;08/07/2018;5.4;-0.21;-3,74%;5.62;5.66;5.39;868.900;2018-08-07
569;576,0;08/06/2018;5.61;-0.09;-1,58%;5.7;5.75;5.58;533.600;2018-08-06
570;577,0;08/03/2018;5.7;0.02;0,35%;5.68;5.84;5.67;930.600;2018-08-03
571;578,0;08/02/2018;5.68;-0.06;-1,05%;5.73;5.73;5.62;235.700;2018-08-02
572;579,0;08/01/2018;5.74;0.11;1,95%;5.66;5.79;5.63;202.700;2018-08-01
573;580,0;07/31/2018;5.63;-0.22;-3,76%;5.88;5.88;5.54;1.026.500;2018-07-31
574;581,0;07/30/2018;5.85;-0.11;-1,85%;5.94;5.96;5.85;369.700;2018-07-30
575;582,0;07/27/2018;5.96;-0.1;-1,65%;6.17;6.17;5.85;599.900;2018-07-27
576;583,0;07/26/2018;6.06;-0.17;-2,73%;6.26;6.35;6.0;592.700;2018-07-26
577;584,0;07/25/2018;6.23;-0.09;-1,42%;6.34;6.45;6.2;709.400;2018-07-25
578;585,0;07/24/2018;6.32;0.29;4,81%;6.05;6.38;6.05;4.067.400;2018-07-24
579;586,0;07/23/2018;6.03;-0.17;-2,74%;6.2;6.45;6.03;1.010.100;2018-07-23
580;587,0;07/20/2018;6.2;0.16;2,65%;6.07;6.3;6.07;617.200;2018-07-20
581;588,0;09/24/2020;6,21;0,02;0,32%;6,19;6,33;6,16;996.000;2020-09-24
582;;09/24/2020;6,21;0,02;0,32%;6,19;6,33;6,16;996.000;
